Variable,OR,lowCI,upCI
Anaerococcus,1.1473952109768815,0.07967560647809423,1.3855966541750333
Bacteroides,1.002691824049528,0.9866963367655421,1.0088748994660703
Bifidobacterium,1.0010360754788414,0.9990037415068007,1.0032682224174874
Clostridium,1.0009411469456528,0.9903590368637605,1.0119130645555625
Corynebacterium,2.014258747276092,0.7902818247825217,8.161095194405174
Cutibacterium,1.0058034275357095,0.9897739178896476,1.012087767805371
Enterococcus,1.0028504132816192,0.9946496045707958,1.0188867586196557
Erysipelatoclostridium,0.9929866702867312,0.9409315784132245,0.9980194099200014
Escherichia,1.0075850164725195,1.001910402114388,1.0137399584832143
Finegoldia,0.969953907114141,0.9082061606116023,1.013659224563031
Klebsiella,0.9930861009066101,0.9843903427253777,1.0006841587749615
Lactobacillus,1.0053556234422316,0.6908765670839166,2.382655991109911
Lactococcus,1.36441225602456,0.5412711462677862,5.471594759402646
Rothia,0.984710266256776,0.22036422066380418,1.0591582307361156
Shigella,0.9840641033273583,0.6198075814342457,1.5997413627102917
Staphylococcus,0.9970946300984032,0.9419742333271892,1.0106114285592207
Streptococcus,1.0019314473475844,0.9974528445365644,1.006618554111692
Varibaculum,1.0138386117660705,0.3283034509452083,1.0838536817762783
Veillonella,0.9425483994519223,0.8181415406256469,1.0436915042576451
